Player,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim
1116,17,52.9%,3.6,2.6,2.3,5.7,8.4,381,64.1%,27.2,573,1.41,0.31,0.27,0.25,3,2,-65,29.4%,17.6%
113,17,35.3%,2.5,1.6,3.4,6.8,4.6,308,68.8%,13,271,1.46,0.25,0.38,0.26,-210,-10,-298,41.2%,17.6%
1Blue,10,10%,0.9,1.4,3.8,2,8.2,351,38.7%,27,494,0.91,0.32,0.14,0.1,-690,-2,-358,0%,30%
2Trick,13,30.8%,2,1.4,4.8,8.2,0.9,226,51.8%,9,228,2.31,0.77,0.31,0.22,-168,-5,-333,15.4%,7.7%
369,27,74.1%,3.5,2.6,2.3,5.5,8,390,52.9%,21.9,554,-,-,-,-,-,-,-,-,-
5Kid,16,43.8%,3.2,4.1,2.4,3.6,9.6,436,66.2%,30.4,717,1.46,0.36,0.36,0.2,166,12,70,25%,18.8%
6ax,13,53.8%,3.9,3.9,2.6,6.2,8.1,407,74.4%,31.9,707,1.21,0.36,0.21,0.16,308,5,73,30.8%,7.7%
9eetoo,14,35.7%,2.3,2.9,3.2,4.6,7.3,370,46%,22.2,464,1.13,0.26,0.19,0.15,-355,-13,-430,21.4%,7.1%
ACD,13,76.9%,3.3,2.9,2.7,5.9,7.6,399,53%,23.2,640,1.26,0.25,0.21,0.11,25,8,70,7.7%,7.7%
ADD,30,50%,2.2,2.6,3.5,5,7.7,388,49%,23,539,1.25,0.38,0.21,0.15,-52,-2,-214,6.7%,26.7%
AHaHaCiK,18,77.8%,3.6,2.1,3.1,8.9,5.2,345,77.2%,13.9,346,1.54,0.27,0.36,0.29,221,1,149,44.4%,16.7%
AKLASS,8,25%,2.5,3.8,2.8,3,9.2,412,53.2%,21.7,462,01.04,0.35,0.28,0.12,-184,9,40,12.5%,12.5%
AKi,31,61.3%,4.2,2,2.1,7,5.3,336,73.8%,14,321,-,-,-,-,-,-,-,-,-
