Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim
Beta32,BR,TOP,1,0%,2.6,2,5,11,5.8,302,76.5%,17.9,425,0.52,0.33,0.03,0.09,-1588,-26,-725,0%,0%
Betao,BR,TOP,15,66.7%,4.1,3.8,2.3,5.9,9.2,441,59.3%,21,510,1.36,0.35,0.23,0.17,451,12,206,33.3%,13.3%
Eradan,BR,TOP,12,41.7%,1.9,2.5,3.8,4.7,7.7,379,51.4%,21.6,507,1.17,0.37,0.18,0.24,-436,-17,-405,16.7%,16.7%
Gru,BR,TOP,16,50%,2.3,2.4,3.1,4.6,7.8,378,47.7%,21.3,451,0.98,0.31,0.16,0.15,-454,-3,-119,12.5%,6.3%
Hidan,BR,TOP,16,62.5%,3.7,4.8,3.1,6.9,7.7,405,61.8%,23.8,599,01.08,0.38,0.17,0.26,322,7,161,37.5%,6.3%
Lukshy,BR,TOP,2,100%,3.5,5,4,9,8,426,73.3%,19.8,566,1.2,0.44,0.21,0.13,366,3,-206,0%,50%
Makes,BR,TOP,16,37.5%,1.5,3.2,4.4,3.4,7.6,375,57.8%,24.4,571,01.03,0.32,0.15,0.16,-79,1,-262,12.5%,18.8%
Mito,BR,TOP,16,37.5%,2.4,2.5,3.4,5.8,7.3,375,59.5%,20.7,450,1.17,0.32,0.19,0.22,-657,-13,-350,12.5%,18.8%
Paclo,BR,TOP,4,50%,2.5,0.5,3.8,9,6.7,325,55.1%,19.2,467,0.98,0.18,0.17,0.27,42,-4,-176,25%,0%
SkB,BR,TOP,14,21.4%,2,1.8,3.4,5.1,8.1,367,55%,21.5,459,1.2,0.39,0.18,0.26,4,4,-3,21.4%,0%
SuperCleber,BR,TOP,16,68.8%,3.9,3.3,2.5,6.6,7.5,403,51.9%,22.2,588,1.25,0.38,0.17,0.23,504,4,332,18.8%,18.8%
Tyrin,BR,TOP,16,75%,6.5,4.3,1.5,5.6,8.5,427,56.9%,23.3,573,01.08,0.38,0.13,0.18,9,-2,229,6.3%,0%
Yupps,BR,TOP,16,31.3%,1.9,3.3,3.9,3.9,8.3,408,66.6%,24.3,496,01.01,0.27,0.14,0.18,298,6,237,12.5%,18.8%
Ancrath,BR,JUNGLE,16,37.5%,2.5,3.1,3.7,6.3,5.5,341,71.7%,18.4,429,1.61,0.24,0.43,0.22,-161,2,-151,18.8%,12.5%
CrjaY,BR,JUNGLE,1,0%,0.8,0,6,5,4.2,273,55.6%,8.8,146,1.17,0.4,0.23,0.37,-541,-17,-475,0%,0%
Drakehero,BR,JUNGLE,16,31.3%,2.3,2,3.6,6.4,5.1,307,64.3%,13.4,306,1.55,0.36,0.42,0.35,-169,5,116,25%,6.3%
Mousty,BR,JUNGLE,16,37.5%,2,1.7,3.8,5.9,4.9,313,70.9%,14.8,341,1.58,0.21,0.42,0.27,205,-1,-17,12.5%,18.8%
Samkz,BR,JUNGLE,16,68.8%,4.4,3.9,3.1,9.8,5.1,355,71.5%,16.9,441,1.4,0.36,0.23,0.34,335,1,112,31.3%,6.3%
Soweto,BR,JUNGLE,16,62.5%,2.8,2.7,4.1,8.7,5.1,331,69%,14.8,348,1.73,0.32,0.4,0.36,250,5,243,68.8%,6.3%
StineR,BR,JUNGLE,16,50%,2.7,2.2,3.7,7.9,4.5,314,72.1%,15.7,338,1.65,0.4,0.38,0.38,-289,-8,-401,50%,0%
Tatu,BR,JUNGLE,16,43.8%,2.7,1.6,3.5,7.8,4.9,311,68.6%,17.3,393,1.47,0.27,0.4,0.29,-264,-8,-352,43.8%,12.5%
anato,BR,JUNGLE,16,31.3%,2.4,1.1,3.7,7.7,4.8,307,75.5%,14,295,1.5,0.28,0.32,0.34,-15,3,138,31.3%,6.3%
enel1,BR,JUNGLE,15,66.7%,5.2,3.7,2.5,9.6,5.4,349,70.3%,17.7,459,1.52,0.33,0.32,0.29,86,-1,122,26.7%,6.7%
Aithusa,BR,MID,15,66.7%,4,5.1,2.6,5.3,8.1,409,65.7%,26.7,618,1.36,0.38,0.22,0.17,-64,-1,88,26.7%,6.7%
Blacky,BR,MID,16,43.8%,3,4.5,3,4.6,8.1,403,67.8%,27.2,627,01.06,0.29,0.23,0.2,-129,3,-83,12.5%,12.5%
